Iter,ObjFun,DFid,RegL1,Cnstr,XPrRsdl,XDlRsdl,XRho,DPrRsdl,DDlRsdl,DRho,Time
16,425.2631072998047,153.69505310058594,6942.4414,5.2870274e-07,0.06535667,0.03671073,2.4558542,0.022745558931023376,0.07679966560884449,10.0,125.64436519995797
17,422.59751892089844,152.75270080566406,6898.3877,4.0094903e-07,0.062198725,0.034499068,2.4558542,0.021112563088536263,0.07322317131869671,10.0,131.7902022000053
18,420.22755432128906,151.6646270751953,6865.617,4.6380015e-07,0.057124708,0.032580018,2.4558542,0.0193907548176592,0.0705194482451742,10.0,138.25802149996161
19,418.1071472167969,150.36566162109375,6844.618,3.7470704e-07,0.054714896,0.030987209,2.4558542,0.01822071522474289,0.06770086867043061,10.0,145.13316659996053
20,416.1943359375,149.07510375976562,6828.7104,5.0213833e-07,0.050978582,0.029630506,2.4558542,0.017032071190851504,0.06527146732502259,10.0,151.53230319998693
21,414.4483947753906,147.95013427734375,6812.8354,5.11467e-07,0.0490457,0.028436843,2.4558542,0.016161208972334862,0.0628553586655613,10.0,158.00107830000343
22,412.83544921875,147.01358032226562,6795.544,5.510699e-07,0.046256155,0.027357247,2.4558542,0.01526637748077159,0.06077139736631671,10.0,164.26654719997896
23,411.3341979980469,146.21340942382812,6777.6216,4.366606e-07,0.044662468,0.026411373,2.4558542,0.014604123309254646,0.05873166745796102,10.0,170.40633470000466
24,409.9357147216797,145.46714782714844,6760.948,4.608051e-07,0.042492494,0.025540132,2.4558542,0.013921633152642292,0.05687773570650936,10.0,176.5558136999607
25,408.6314239501953,144.74781799316406,6745.9937,3.6108412e-07,0.041116625,0.024769511,2.4558542,0.013386993668973446,0.05504653420894949,10.0,182.63785749999806
26,407.4114227294922,144.04637145996094,6732.7373,4.8392417e-07,0.039359994,0.0240465,2.4558542,0.012839984996034594,0.05332511264896167,10.0,188.66921249998268
27,406.2700500488281,143.37860107421875,6720.6304,5.066858e-07,0.038121507,0.023353238,2.4558542,0.0123777249827981,0.05161676693880594,10.0,194.77046589995734
28,405.1993103027344,142.7667236328125,6708.9,5.957267e-07,0.036651272,0.022701584,2.4558542,0.011911176987717268,0.04998977117872461,10.0,200.913089699985
29,404.1919860839844,142.2142333984375,6697.2725,5.5287745e-07,0.03551965,0.022084557,2.4558542,0.011505899019539356,0.04840814243260824,10.0,207.1498839999549
30,403.2440185546875,141.70700073242188,6686.005,5.082786e-07,0.034248,0.021489393,2.4558542,0.01110448130013693,0.04691421753283493,10.0,213.27173129998846
31,402.3507080078125,141.22140502929688,6675.582,4.9882254e-07,0.03320712,0.020921415,2.4558542,0.0107406135648489,0.04547512275107161,10.0,219.55270070000552
32,401.5078430175781,140.74114990234375,6666.3125,3.6150618e-07,0.032086603,0.020372692,2.4558542,0.010385035023957734,0.044096446525610004,10.0,225.62599849997787
33,400.71063232421875,140.28292846679688,6657.6465,5.411901e-07,0.031124821,0.019869512,2.4558542,0.010063700377941132,0.04276225545547985,10.0,231.88772509997943
34,399.95774841308594,139.8459930419922,6649.5693,5.7397205e-07,0.030128,0.019365175,2.4558542,0.00974991333216062,0.04148727815913913,10.0,238.5187353999936
35,399.24652099609375,139.4442138671875,6641.658,3.8010663e-07,0.029249523,0.01889303,2.4558542,0.009463398717343807,0.04027499849832979,10.0,244.84586579998722
36,398.5723419189453,139.06871032714844,6634.023,4.9791146e-07,0.028352289,0.018425422,2.4558542,0.009178991002631625,0.03914527364792085,10.0,251.15268699999433
37,397.9327697753906,138.71316528320312,6626.762,3.9022785e-07,0.027551489,0.017979544,2.4558542,0.008916642475164384,0.0380893626810453,10.0,257.392289099982
38,397.3246765136719,138.37451171875,6619.874,5.4313216e-07,0.026760912,0.017552359,2.4558542,0.008669731268586502,0.03710783528478426,10.0,263.57962209999096
39,396.74609375,138.04751586914062,6613.4424,5.473843e-07,0.026032468,0.017130803,2.4558542,0.008439835760974564,0.03618876053163458,10.0,269.7127563999966
40,396.1945343017578,137.73646545410156,6607.294,4.5078494e-07,0.025313046,0.016738292,2.4558542,0.008223499847394709,0.035336324837464614,10.0,276.14551040000515
41,395.6689147949219,137.43121337890625,6601.66,4.358912e-07,0.024667302,0.016333114,2.4558542,0.008016080381276311,0.034528014869040516,10.0,282.474325499963
42,395.1659851074219,137.13705444335938,6596.323,5.608303e-07,0.02402326,0.015973669,2.4558542,0.007825897393784536,0.03377762390533641,10.0,289.1051862000022
43,394.68402099609375,136.85519409179688,6591.208,3.9111725e-07,0.023449052,0.01564673,2.4558542,0.007653167605103293,0.03309127958483677,10.0,295.46055239997804
44,394.2204132080078,136.5862274169922,6586.2324,5.619231e-07,0.022890676,0.015345026,2.4558542,0.007491218314833382,0.03247182719149258,10.0,301.86429559998214
45,393.7738800048828,136.3218231201172,6581.576,6.1702013e-07,0.022390878,0.015060589,2.4558542,0.007338508585602326,0.03190277958447081,10.0,308.04577450000215
46,393.3430633544922,136.0586395263672,6577.2905,5.286305e-07,0.021913508,0.014792719,2.4558542,0.007201366855395974,0.03137286218391223,10.0,314.36800959997345
47,392.9265594482422,135.80796813964844,6573.0513,5.2860554e-07,0.021478307,0.014552298,2.4558542,0.007071314974088475,0.030880678461454734,10.0,321.12371869996423
48,392.5238800048828,135.56019592285156,6569.091,5.426668e-07,0.021066258,0.014306119,2.4558542,0.00694615488556366,0.03041370615369626,10.0,327.8251089999685
49,392.1343536376953,135.3204803466797,6565.2617,5.98744e-07,0.020676222,0.014069821,2.4558542,0.006825293460897153,0.02995933715047952,10.0,334.3646319999825
50,391.7574462890625,135.09423828125,6561.4097,5.920676e-07,0.02030116,0.013846504,2.4558542,0.006711275071090179,0.029512201786115543,10.0,340.73294819996227
51,391.3931121826172,134.87574768066406,6557.6816,5.152684e-07,0.019939728,0.013617312,2.4558542,0.006593980784608589,0.029064406794915138,10.0,346.9640175999957
52,391.04005432128906,134.66725158691406,6553.9854,4.935127e-07,0.019584931,0.013406871,2.4558542,0.0064829497176449365,0.028614984325835376,10.0,352.94543889997294
53,390.6975402832031,134.46347045898438,6550.439,5.6182336e-07,0.019240666,0.013195784,2.4558542,0.006370287153522277,0.028159053634313536,10.0,359.13474770000903
54,390.36573791503906,134.2704620361328,6546.8906,4.0989366e-07,0.01889535,0.013001098,2.4558542,0.006262284079556654,0.027706824328517562,10.0,365.47120309999445
55,390.04388427734375,134.08226013183594,6543.474,4.868834e-07,0.018570634,0.012806314,2.4558542,0.006155103021446476,0.02725580439492316,10.0,371.7900495000067
56,389.7327880859375,133.89407348632812,6540.332,4.8722285e-07,0.01824867,0.012598176,2.4558542,0.0060492717118500955,0.02679295717325273,10.0,378.1090012000059
57,389.4317932128906,133.71258544921875,6537.277,4.8468e-07,0.017927142,0.012408602,2.4558542,0.005942216123320073,0.026319678354192935,10.0,383.92169250000734
58,389.1398010253906,133.54415893554688,6534.118,5.6586714e-07,0.017604193,0.012227309,2.4558542,0.005834611510324157,0.025846523228621153,10.0,389.7152788999956
59,388.8570556640625,133.380859375,6531.0645,5.660952e-07,0.017292585,0.01203854,2.4558542,0.005731547755497337,0.025373782405191312,10.0,395.4655645999592
60,388.58338928222656,133.22337341308594,6528.0947,4.5926998e-07,0.016974414,0.011855209,2.4558542,0.005627264284267061,0.02490718134984595,10.0,401.20077429997036
61,388.31849670410156,133.06690979003906,6525.3228,5.456028e-07,0.016673703,0.011675102,2.4558542,0.005526856302220206,0.024441434135611007,10.0,406.91397210001014
62,388.0619201660156,132.91534423828125,6522.638,3.4500184e-07,0.016367048,0.011496776,2.4558542,0.005424816455209627,0.02397451621898331,10.0,412.6438119999948
63,387.81378173828125,132.7691650390625,6520.0317,4.4510645e-07,0.016068589,0.011323272,2.4558542,0.0053266828944612335,0.023512203434263412,10.0,418.3266300999676
64,387.5739440917969,132.63018798828125,6517.453,5.669878e-07,0.015777424,0.011154743,2.4558542,0.0052308423169145505,0.023056297117337445,10.0,424.04160900000716
65,387.3419647216797,132.4939727783203,6515.005,5.658908e-07,0.015489643,0.010985795,2.4558542,0.005133630455692381,0.022607977537321446,10.0,430.0235369000002
66,387.1173400878906,132.3614044189453,6512.652,6.6578514e-07,0.0152064385,0.010825272,2.4558542,0.005041019457525091,0.022169396795875478,10.0,435.7032110999571
67,386.8998260498047,132.2298126220703,6510.455,4.993724e-07,0.014926905,0.010662915,2.4558542,0.004949286746418891,0.021737868429950295,10.0,441.3614305999945
68,386.68959045410156,132.0977783203125,6508.456,5.629151e-07,0.014655411,0.010500394,2.4558542,0.004859968754414419,0.021311715669365513,10.0,447.00945610000053
69,386.4859161376953,131.9719696044922,6506.4653,4.5053883e-07,0.014389355,0.010350188,2.4558542,0.00477372324628037,0.020894348942085278,10.0,452.659230499994
70,386.28868103027344,131.8509521484375,6504.517,4.598674e-07,0.014129949,0.01019753,2.4558542,0.004688767413345983,0.02048790731362719,10.0,458.27973889996065
71,386.0979919433594,131.73355102539062,6502.6436,4.457015e-07,0.013876486,0.010049699,2.4558542,0.004607236139528154,0.020092234197005083,10.0,463.9541332999943
72,385.9134216308594,131.62017822265625,6500.823,4.4468047e-07,0.013627509,0.009907728,2.4558542,0.004526832951299181,0.019709417380274465,10.0,469.657910000009
73,385.7347869873047,131.50759887695312,6499.135,6.6127166e-07,0.013390481,0.009764216,2.4558542,0.004450077125744254,0.019336785675675924,10.0,475.3193466999801
74,385.56158447265625,131.39979553222656,6497.463,4.970076e-07,0.013159,0.009631332,2.4558542,0.004375447439256695,0.01897617642695187,10.0,481.03982329997234
75,385.39366149902344,131.29676818847656,6495.8037,5.1698083e-07,0.012934128,0.00949904,2.4558542,0.004302623630547187,0.018628224110541002,10.0,486.73192990000825
76,385.2307434082031,131.19505310058594,6494.2393,5.147421e-07,0.012715075,0.009363641,2.4558542,0.004231078590412801,0.018289410155854648,10.0,492.415288899967
77,385.0727081298828,131.09591674804688,6492.7334,5.3612166e-07,0.012500491,0.009241221,2.4558542,0.004162575749564251,0.01796226125684127,10.0,498.13630309997825
78,384.91932678222656,130.9979705810547,6491.3164,6.100848e-07,0.012293344,0.00911738,2.4558542,0.004095406424249326,0.017646407623155547,10.0,503.95912419998785
79,384.7706298828125,130.90057373046875,6490.005,4.166299e-07,0.01209243,0.008994087,2.4558542,0.004030870951744117,0.017341593449278495,10.0,509.96847610000987
80,384.62623596191406,130.80697631835938,6488.706,4.0272596e-07,0.0119005,0.00887945,2.4558542,0.003968521074997546,0.017049108760524415,10.0,515.7925582999596
81,384.4857940673828,130.71583557128906,6487.446,5.792071e-07,0.011715144,0.008766166,2.4558542,0.003908432405178231,0.01676682406846808,10.0,521.3195836999803
82,384.34918212890625,130.627685546875,6486.207,5.011066e-07,0.011530972,0.008653239,2.4558542,0.003848897236644396,0.016494277924936226,10.0,526.9400107999681
83,384.2162780761719,130.54298400878906,6484.9746,4.722662e-07,0.011353269,0.008542258,2.4558542,0.0037917131447503883,0.016229496125181212,10.0,532.6657894999953
84,384.0869903564453,130.46246337890625,6483.728,4.8498e-07,0.011180046,0.008437807,2.4558542,0.0037368297087034207,0.015972193120187297,10.0,538.3414200999541
85,383.9610595703125,130.38340759277344,6482.53,5.058884e-07,0.011015141,0.008334643,2.4558542,0.0036831287283967096,0.01572121213755822,10.0,543.9587401999743
86,383.8384552001953,130.30511474609375,6481.397,3.7700113e-07,0.01085095,0.008233372,2.4558542,0.0036313527556182685,0.015480507025883028,10.0,549.6226028999663
87,383.71913146972656,130.22608947753906,6480.3667,5.547855e-07,0.010695893,0.008133947,2.4558542,0.003581803130852575,0.01524971020910195,10.0,555.1236539999954
88,383.60284423828125,130.14999389648438,6479.3394,2.8643012e-07,0.010543754,0.00803861,2.4558542,0.003532559909257784,0.01502812725280598,10.0,560.7650850999635
89,383.4893798828125,130.0760498046875,6478.329,5.508783e-07,0.010396493,0.00794306,2.4558542,0.0034847567596400964,0.014814293084124588,10.0,566.336874599976
90,383.37867736816406,130.00531005859375,6477.307,4.1299384e-07,0.010252564,0.007852498,2.4558542,0.0034394299232816668,0.014607451619047588,10.0,572.064092799963
91,383.27056884765625,129.9368438720703,6476.294,6.602138e-07,0.010114108,0.0077628475,2.4558542,0.0033951148279923126,0.014406825756926454,10.0,578.3590856000083
92,383.1649932861328,129.87071228027344,6475.2856,5.08565e-07,0.009975951,0.0076801055,2.4558542,0.003351862241601503,0.0142144592135793,10.0,584.1008417999838
93,383.0616149902344,129.80677795410156,6474.2773,4.6086902e-07,0.0098457495,0.0076008737,2.4558542,0.0033107781756577855,0.014031214789702224,10.0,589.7968896999955
94,382.9606018066406,129.74105834960938,6473.375,5.2600785e-07,0.009719855,0.0075186347,2.4558542,0.0032714210274929637,0.013854504852795423,10.0,595.52809659997
95,382.86175537109375,129.67477416992188,6472.5425,3.8768437e-07,0.00959917,0.007443488,2.4558542,0.0032342042737617516,0.013685289200780031,10.0,601.1366313999752
96,382.764892578125,129.60919189453125,6471.7427,3.8884323e-07,0.009483038,0.0073690107,2.4558542,0.003198303054982688,0.01352395554517631,10.0,606.9547120999778
97,382.6698913574219,129.5467987060547,6470.909,3.8314246e-07,0.009368806,0.007301159,2.4558542,0.0031640407340114687,0.013374414342705124,10.0,613.1390537999687
98,382.5767364501953,129.48777770996094,6470.0366,5.8052876e-07,0.009261504,0.007234851,2.4558542,0.003132182673459134,0.013236181284119282,10.0,620.0140421999968
99,382.4853515625,129.42967224121094,6469.186,4.957026e-07,0.009156918,0.007168227,2.4558542,0.003100324239521528,0.013105214883797494,10.0,626.4517897999613
