split,city,sample_id,image_path,label_path,instance_path,person_pixels,car_pixels,motorcycle_pixels,person_instances,car_instances,motorcycle_instances,has_all_three,passes_minimum,passes_ratio,selection_tier,selection_tier_name,person_ratio,car_ratio,motorcycle_ratio,total_target_pixels,balance_error,balance_score,quantity_score,instance_score,total_area_score,motorcycle_ratio_score,score
train,bremen,bremen_000052_000019,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\bremen\bremen_000052_000019_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\bremen\bremen_000052_000019_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\bremen\bremen_000052_000019_gtFine_instanceIds.png",53240,110683,9616,27,10,2,True,True,True,1,Tier 1 - Strong and balanced,0.30678982822305073,0.637798996191058,0.055411175585891356,173539,0.14458882441410867,0.8554111755858913,0.9870325726707949,1.0,1.0,0.27705587792945674,90.21270359320678
train,hamburg,hamburg_000000_071675,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\hamburg\hamburg_000000_071675_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\hamburg\hamburg_000000_071675_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\hamburg\hamburg_000000_071675_gtFine_instanceIds.png",20507,71297,10294,15,15,2,True,True,True,1,Tier 1 - Strong and balanced,0.20085604027502987,0.6983192618856393,0.10082469783933085,102098,0.1983192618856393,0.8016807381143607,1.0,1.0,1.0,0.5041234891966542,89.5878469705577
train,zurich,zurich_000069_000019,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\zurich\zurich_000069_000019_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\zurich\zurich_000069_000019_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\zurich\zurich_000069_000019_gtFine_instanceIds.png",50857,240477,38021,9,6,5,True,True,True,1,Tier 1 - Strong and balanced,0.15441393025762476,0.7301452839641117,0.11544078577826358,329355,0.23014528396411166,0.7698547160358884,1.0,1.0,1.0,0.5772039288913179,88.68020828589212
train,hamburg,hamburg_000000_018592,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\hamburg\hamburg_000000_018592_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\hamburg\hamburg_000000_018592_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\hamburg\hamburg_000000_018592_gtFine_instanceIds.png",21274,92912,13571,4,26,2,True,True,True,1,Tier 1 - Strong and balanced,0.16651925139131318,0.7272556493969019,0.10622509921178487,127757,0.22725564939690193,0.7727443506030981,1.0,1.0,1.0,0.5311254960589243,88.56540150441855
train,cologne,cologne_000054_000019,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\cologne\cologne_000054_000019_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\cologne\cologne_000054_000019_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\cologne\cologne_000054_000019_gtFine_instanceIds.png",21790,158357,30405,10,12,2,True,True,True,1,Tier 1 - Strong and balanced,0.10348987423534328,0.7521039933128159,0.14440613245184086,210552,0.25210399331281585,0.7478960066871841,1.0,1.0,1.0,0.7220306622592043,88.52599357878339
train,hanover,hanover_000000_040051,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\hanover\hanover_000000_040051_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\hanover\hanover_000000_040051_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\hanover\hanover_000000_040051_gtFine_instanceIds.png",20809,74080,16818,17,5,1,True,True,True,1,Tier 1 - Strong and balanced,0.18628196979598413,0.6631634543940845,0.15055457580993134,111707,0.16316345439408453,0.8368365456059155,1.0,0.7469007910928608,1.0,0.7527728790496566,88.44083808587781
train,hamburg,hamburg_000000_088983,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\hamburg\hamburg_000000_088983_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\hamburg\hamburg_000000_088983_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\hamburg\hamburg_000000_088983_gtFine_instanceIds.png",77406,287312,26402,11,20,2,True,True,True,1,Tier 1 - Strong and balanced,0.19790857025976683,0.73458785027613,0.06750357946410308,391120,0.23458785027613008,0.76541214972387,1.0,1.0,1.0,0.3375178973205154,87.30407547555737
train,tubingen,tubingen_000052_000019,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\tubingen\tubingen_000052_000019_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\tubingen\tubingen_000052_000019_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\tubingen\tubingen_000052_000019_gtFine_instanceIds.png",11304,86178,13208,5,11,2,True,True,True,1,Tier 1 - Strong and balanced,0.10212304634565002,0.7785527147890505,0.11932423886529948,110690,0.2785527147890505,0.7214472852109495,1.0,1.0,1.0,0.5966211943264974,86.84099738007046
train,aachen,aachen_000041_000019,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\aachen\aachen_000041_000019_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\aachen\aachen_000041_000019_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\aachen\aachen_000041_000019_gtFine_instanceIds.png",43171,204869,35507,10,8,1,True,True,True,1,Tier 1 - Strong and balanced,0.15225341830454917,0.7225221920880842,0.12522438960736668,283547,0.22252219208808421,0.7774778079119158,1.0,0.7937005259840998,1.0,0.6261219480368333,86.13522994642229
val,frankfurt,frankfurt_000000_022797,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\val\frankfurt\frankfurt_000000_022797_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\val\frankfurt\frankfurt_000000_022797_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\val\frankfurt\frankfurt_000000_022797_gtFine_instanceIds.png",14268,100119,11964,8,13,5,True,True,True,1,Tier 1 - Strong and balanced,0.11292352256808415,0.7923878718807132,0.0946886055512026,126351,0.29238787188071325,0.7076121281192868,1.0,1.0,1.0,0.473443027756013,85.67170026355153
train,zurich,zurich_000041_000019,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\zurich\zurich_000041_000019_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\zurich\zurich_000041_000019_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\zurich\zurich_000041_000019_gtFine_instanceIds.png",55903,406714,61675,18,4,2,True,True,True,1,Tier 1 - Strong and balanced,0.10662569713060661,0.7757394734232069,0.11763482944618647,524292,0.2757394734232069,0.7242605265767931,1.0,0.8735804647362989,1.0,0.5881741472309323,85.01499877027086
train,hamburg,hamburg_000000_027304,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\hamburg\hamburg_000000_027304_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\hamburg\hamburg_000000_027304_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\hamburg\hamburg_000000_027304_gtFine_instanceIds.png",34414,203872,32627,18,11,1,True,True,True,1,Tier 1 - Strong and balanced,0.12702971064511484,0.75253679225434,0.1204334971005452,270913,0.25253679225433995,0.74746320774566,1.0,0.7937005259840998,1.0,0.6021674855027259,84.81487362710153
train,bremen,bremen_000217_000019,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\bremen\bremen_000217_000019_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\bremen\bremen_000217_000019_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\bremen\bremen_000217_000019_gtFine_instanceIds.png",31794,139971,22140,18,4,1,True,True,True,1,Tier 1 - Strong and balanced,0.16396689100332637,0.7218534849539723,0.11417962404270132,193905,0.2218534849539723,0.7781465150460277,1.0,0.6933612743506347,1.0,0.5708981202135066,84.38077031816815
train,tubingen,tubingen_000056_000019,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\tubingen\tubingen_000056_000019_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\tubingen\tubingen_000056_000019_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\tubingen\tubingen_000056_000019_gtFine_instanceIds.png",44924,137835,11450,14,5,1,True,True,True,1,Tier 1 - Strong and balanced,0.23131780710471708,0.709725089980382,0.05895710291490096,194209,0.20972508998038195,0.790274910019618,1.0,0.7469007910928608,1.0,0.29478551457450475,84.28843584005016
train,strasbourg,strasbourg_000000_013223,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\strasbourg\strasbourg_000000_013223_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\strasbourg\strasbourg_000000_013223_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\strasbourg\strasbourg_000000_013223_gtFine_instanceIds.png",19007,96293,8204,10,16,2,True,True,True,1,Tier 1 - Strong and balanced,0.1538978494623656,0.7796751522217904,0.06642699831584402,123504,0.2796751522217904,0.7203248477782096,0.9361423310962333,1.0,1.0,0.33213499157922005,83.55793880191149
val,frankfurt,frankfurt_000000_009561,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\val\frankfurt\frankfurt_000000_009561_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\val\frankfurt\frankfurt_000000_009561_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\val\frankfurt\frankfurt_000000_009561_gtFine_instanceIds.png",17313,27643,4510,8,8,1,True,True,True,1,Tier 1 - Strong and balanced,0.34999797840941255,0.5588282860955,0.09117373549508753,49466,0.10882626450491249,0.8911737354950875,0.7462427994794805,0.7937005259840998,0.98932,0.45586867747543763,82.11228468132661
train,strasbourg,strasbourg_000001_024152,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\strasbourg\strasbourg_000001_024152_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\strasbourg\strasbourg_000001_024152_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\strasbourg\strasbourg_000001_024152_gtFine_instanceIds.png",10840,69052,9193,3,9,1,True,True,True,1,Tier 1 - Strong and balanced,0.12168154010214963,0.7751248807318852,0.1031935791659651,89085,0.27512488073188524,0.7248751192681148,0.9723420925517784,0.7211247851537042,1.0,0.5159678958298255,81.56197880373263
train,zurich,zurich_000014_000019,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\zurich\zurich_000014_000019_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\zurich\zurich_000014_000019_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\zurich\zurich_000014_000019_gtFine_instanceIds.png",28478,53986,5556,8,3,1,True,True,True,1,Tier 1 - Strong and balanced,0.3235401045216996,0.6133378777550557,0.06312201772324472,88020,0.1368779822767553,0.8631220177232447,0.8220926127440376,0.6299605249474366,1.0,0.3156100886162236,80.21511740854358
train,aachen,aachen_000047_000019,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\aachen\aachen_000047_000019_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\aachen\aachen_000047_000019_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\aachen\aachen_000047_000019_gtFine_instanceIds.png",11976,72467,7722,5,18,1,True,True,True,1,Tier 1 - Strong and balanced,0.1299408669234525,0.7862746161775077,0.08378451689903976,92165,0.2862746161775077,0.7137253838224923,0.9174377350603783,0.7937005259840998,1.0,0.4189225844951988,80.07226821694854
val,munster,munster_000058_000019,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\val\munster\munster_000058_000019_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\val\munster\munster_000058_000019_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\val\munster\munster_000058_000019_gtFine_instanceIds.png",15187,77713,7750,5,5,1,True,True,True,1,Tier 1 - Strong and balanced,0.15088922006954794,0.7721112767014406,0.07699950322901143,100650,0.27211127670144064,0.7278887232985594,0.9185452750071139,0.7469007910928608,1.0,0.3849975161450571,79.800406629274
train,stuttgart,stuttgart_000176_000019,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\stuttgart\stuttgart_000176_000019_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\stuttgart\stuttgart_000176_000019_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\stuttgart\stuttgart_000176_000019_gtFine_instanceIds.png",12435,43713,3940,13,12,2,True,True,True,1,Tier 1 - Strong and balanced,0.20694647849820264,0.727483024896818,0.06557049660497936,60088,0.22748302489681801,0.772516975103182,0.7331036930185336,1.0,1.0,0.3278524830248968,79.53305220980778
train,zurich,zurich_000011_000019,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\zurich\zurich_000011_000019_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\zurich\zurich_000011_000019_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\zurich\zurich_000011_000019_gtFine_instanceIds.png",12521,23859,3218,5,6,2,True,True,True,1,Tier 1 - Strong and balanced,0.3162028385271983,0.6025304308298399,0.08126673064296176,39598,0.11873326935703826,0.8812667306429618,0.634900507279863,1.0,0.79196,0.4063336532148088,79.24895271018842
train,hanover,hanover_000000_003224,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\hanover\hanover_000000_003224_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\hanover\hanover_000000_003224_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\hanover\hanover_000000_003224_gtFine_instanceIds.png",18089,51236,4555,5,10,1,True,True,True,1,Tier 1 - Strong and balanced,0.24484298863021114,0.6935029778018408,0.061654033567948026,73880,0.1935029778018408,0.8064970221981592,0.7694188001877681,0.7937005259840998,1.0,0.3082701678397401,78.78930362251961
train,aachen,aachen_000086_000019,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\aachen\aachen_000086_000019_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\aachen\aachen_000086_000019_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\aachen\aachen_000086_000019_gtFine_instanceIds.png",16234,78068,6113,10,9,1,True,True,True,1,Tier 1 - Strong and balanced,0.1616690733456157,0.7774535676940696,0.060877358960314695,100415,0.2774535676940696,0.7225464323059304,0.8486946515298388,0.7937005259840998,1.0,0.30438679480157343,77.79013870190174
train,weimar,weimar_000104_000019,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\weimar\weimar_000104_000019_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\weimar\weimar_000104_000019_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\weimar\weimar_000104_000019_gtFine_instanceIds.png",11372,51677,4711,9,9,1,True,True,True,1,Tier 1 - Strong and balanced,0.167827626918536,0.7626475796930342,0.06952479338842975,67760,0.2626475796930342,0.7373524203069658,0.7781040958777261,0.7937005259840998,1.0,0.3476239669421487,76.48084741308266
train,hamburg,hamburg_000000_091155,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\hamburg\hamburg_000000_091155_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\hamburg\hamburg_000000_091155_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\hamburg\hamburg_000000_091155_gtFine_instanceIds.png",71371,89750,31791,12,7,2,True,True,False,2,Tier 2 - Strong quantities,0.3699666169030439,0.46523803599568714,0.16479534710126897,192912,0.0699666169030439,0.930033383096956,1.0,1.0,1.0,0.8239767355063449,96.32121900140996
val,frankfurt,frankfurt_000000_022254,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\val\frankfurt\frankfurt_000000_022254_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\val\frankfurt\frankfurt_000000_022254_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\val\frankfurt\frankfurt_000000_022254_gtFine_instanceIds.png",40943,39143,30031,6,6,3,True,True,False,2,Tier 2 - Strong quantities,0.3718136164261649,0.35546736652832894,0.27271901704550616,110117,0.14453263347167106,0.855467366528329,1.0,1.0,1.0,1.0,94.21869466113317
train,cologne,cologne_000019_000019,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\cologne\cologne_000019_000019_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\cologne\cologne_000019_000019_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\cologne\cologne_000019_000019_gtFine_instanceIds.png",120548,131901,103177,6,5,6,True,True,False,2,Tier 2 - Strong quantities,0.3389740907582685,0.3708980783182332,0.2901278309234983,355626,0.12910192168176682,0.8708980783182332,1.0,0.9410360288810286,1.0,1.0,93.95146356594476
train,dusseldorf,dusseldorf_000190_000019,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\dusseldorf\dusseldorf_000190_000019_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\dusseldorf\dusseldorf_000190_000019_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\dusseldorf\dusseldorf_000190_000019_gtFine_instanceIds.png",46580,47905,21111,8,4,2,True,True,False,2,Tier 2 - Strong quantities,0.40295511955430985,0.4144174538911381,0.18262742655455205,115596,0.10295511955430986,0.8970448804456901,1.0,0.8735804647362989,1.0,0.9131371327727602,93.55118785273588
val,munster,munster_000084_000019,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\val\munster\munster_000084_000019_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\val\munster\munster_000084_000019_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\val\munster\munster_000084_000019_gtFine_instanceIds.png",32193,28853,15624,6,4,2,True,True,False,2,Tier 2 - Strong quantities,0.41989043954610666,0.3763271162123386,0.20378244424155473,76670,0.12367288378766139,0.8763271162123386,0.9870895942756007,0.8735804647362989,1.0,1.0,92.76947944780606
